"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 12:32:09 GMT 2024","Sun Jun 02 12:32:24 GMT 2024","15220","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"failed","Sun Jun 02 12:31:52 GMT 2024","Sun Jun 02 12:31:52 GMT 2024","476","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Jun 02 12:28:49 GMT 2024","Sun Jun 02 12:29:45 GMT 2024","56510","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"failed","Sun Jun 02 12:31:54 GMT 2024","Sun Jun 02 12:31:54 GMT 2024","158","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"failed","Sun Jun 02 12:31:57 GMT 2024","Sun Jun 02 12:32:09 GMT 2024","11777","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"passed","Sun Jun 02 12:31:56 GMT 2024","Sun Jun 02 12:31:56 GMT 2024","152","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 12:31:53 GMT 2024","Sun Jun 02 12:31:53 GMT 2024","213","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"passed","Sun Jun 02 12:31:56 GMT 2024","Sun Jun 02 12:31:56 GMT 2024","78","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 12:31:55 GMT 2024","Sun Jun 02 12:31:55 GMT 2024","106","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
"passed","Sun Jun 02 12:31:54 GMT 2024","Sun Jun 02 12:31:54 GMT 2024","151","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"passed","Sun Jun 02 12:31:54 GMT 2024","Sun Jun 02 12:31:54 GMT 2024","112","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"passed","Sun Jun 02 12:31:55 GMT 2024","Sun Jun 02 12:31:55 GMT 2024","78","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"passed","Sun Jun 02 12:30:55 GMT 2024","Sun Jun 02 12:31:34 GMT 2024","38687","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
